Mod:Item:MetaData, Localized Name
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:display_stand:0, Display Stand
evilcraft:undead_plank_stairs:0, Undead Plank Stairs
evilcraft:reinforced_undead_plank_stairs:0, Reinforced Undead Plank Stairs
evilcraft:dark_brick_stairs:0, Dark Brick Stairs
evilcraft:dark_blood_brick_stairs:0, Dark Blood Brick Stairs
evilcraft:werewolf_bone, Werewolf Bone
evilcraft:werewolf_flesh:0, Werewolf Flesh
evilcraft:werewolf_flesh:1, Humanoid Flesh
evilcraft:lightning_grenade, Lightning Grenade
evilcraft:redstone_grenade, Redstone Grenade
evilcraft:blood_extractor, Blood Extractor
evilcraft:dark_gem, Dark Gem
evilcraft:dark_stick, Dark Stick
evilcraft:weather_container:0, Weather Container
evilcraft:weather_container:1, Weather Container
evilcraft:weather_container:2, Weather Container
evilcraft:weather_container:3, Weather Container
evilcraft:blood_pearl_of_teleportation, Blood Pearl of Teleportation
evilcraft:broom, Broom
evilcraft:hardened_blood_shard, Hardened Blood Shard
evilcraft:dark_power_gem, Dark Power Gem
evilcraft:blood_infusion_core, Blood Infusion Core
evilcraft:poison_sac, Poison Sac
evilcraft:werewolf_fur, Werewolf Fur
evilcraft:blook, Blook
evilcraft:potentia_sphere, Potentia Sphere
evilcraft:inverted_potentia:0, Inverted Potentia
evilcraft:inverted_potentia:1, Inverted Potentia
evilcraft:mace_of_distortion, Mace of Distortion
evilcraft:kineticator:0, Kineticator
evilcraft:kineticator:0, Kineticator
evilcraft:kineticator:1, Repelling Kineticator
evilcraft:kineticator:1, Repelling Kineticator
evilcraft:vengeance_ring, Vengeance Ring
evilcraft:vengeance_focus:0, Vengeance Focus
evilcraft:vengeance_pickaxe, Vengeance Pickaxe
evilcraft:burning_gem_stone, Burning Gem_stone
evilcraft:dark_gem_crushed, Crushed Dark Gem
evilcraft:vein_sword, Vein Sword
evilcraft:creative_blood_drop, Creative Blood Drop
evilcraft:dark_spike, Spike
evilcraft:exalted_crafter:0, Exalted Crafter
evilcraft:exalted_crafter:1, Wooden Exalted Crafter
evilcraft:exalted_crafter:2, Exalted Crafter
evilcraft:exalted_crafter:3, Wooden Exalted Crafter
evilcraft:necromancer_staff, Necromancer Staff
evilcraft:invigorating_pendant, Invigorating Pendant
evilcraft:corrupted_tear, Corrupted Tear
evilcraft:promise:0, Promise of Tenacity I
evilcraft:promise:1, Promise of Tenacity II
evilcraft:promise:2, Promise of Tenacity III
evilcraft:promise:3, Promise of Velocity
evilcraft:promise:4, Promise of Productivity
evilcraft:promise_acceptor:0, Iron Promise Acceptor
evilcraft:promise_acceptor:1, Gold Promise Acceptor
evilcraft:promise_acceptor:2, Diamond Promise Acceptor
evilcraft:bowl_of_promises:0, Filled Bowl of Empty Promises
evilcraft:bowl_of_promises:1, Bowl of Empty Promises
evilcraft:bowl_of_promises:2, Bowl of Promises
evilcraft:bowl_of_promises:3, Bowl of Promises
evilcraft:bowl_of_promises:4, Bowl of Promises
evilcraft:bowl_of_promises:5, Bowl of Promises
evilcraft:dull_dust, Dull Dust
evilcraft:blood_waxed_coal, Blood-Waxed Coal
evilcraft:ender_tear, Ender Tear
evilcraft:blood_potash, Blood Potash
evilcraft:bucket_eternal_water, Eternal Water Bucket
evilcraft:blood_orb:0, Empty Orb
evilcraft:blood_orb:1, Blood Orb
evilcraft:sceptre_of_thunder, Sceptre of Thunder
evilcraft:origins_of_darkness, Origins of Darkness
evilcraft:darkened_apple, Darkened Apple
evilcraft:effortless_ring, Effortless Ring
evilcraft:condensed_blood, Condensed Blood
evilcraft:rejuvenated_flesh, Rejuvenated Flesh
evilcraft:primed_pendant, Primed Pendant
evilcraft:golden_string, Golden String
evilcraft:biome_extract:0, Biome Extract Bottle
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:biome_extract:1, Biome Extract
evilcraft:environmental_accumulation_core, Environmental Accumulation Core
evilcraft:mace_of_destruction, Mace of Destruction
evilcraft:garmonbozia, Garmonbozia
evilcraft:poison_bottle, Poison Bottle
evilcraft:broom_part:0, Bare Rod
evilcraft:broom_part:0, Wooden Rod
evilcraft:broom_part:0, Stone Rod
evilcraft:broom_part:0, Bone Rod
evilcraft:broom_part:0, Blaze Rod
evilcraft:broom_part:0, Reed Rod
evilcraft:broom_part:0, Netherrack Rod
evilcraft:broom_part:0, Obsidian Rod
evilcraft:broom_part:0, Undead Rod
evilcraft:broom_part:0, Prismarine Rod
evilcraft:broom_part:0, Ice Rod
evilcraft:broom_part:0, Sponge Rod
evilcraft:broom_part:0, End Stone Rod
evilcraft:broom_part:0, Purpur Rod
evilcraft:broom_part:0, Bare Brush
evilcraft:broom_part:0, Wheat Brush
evilcraft:broom_part:0, Wool Brush
evilcraft:broom_part:0, Feather Brush
evilcraft:broom_part:0, Twig Brush
evilcraft:broom_part:0, Leaves Brush
evilcraft:broom_part:0, Bare Cap
evilcraft:broom_part:0, Dark Gem Cap
evilcraft:broom_part:0, Diamond Gem Cap
evilcraft:broom_part:0, Emerald Gem Cap
evilcraft:broom_part:0, Quartz Gem Cap
evilcraft:broom_part:0, Dark Power Gem Cap
evilcraft:broom_part:0, Skeleton Skull Cap
evilcraft:broom_part:0, Wither Skeleton Skull Cap
evilcraft:broom_part:0, Zombie Skull Cap
evilcraft:broom_part:0, Player Skull Cap
evilcraft:broom_part:0, Creeper Skull Cap
evilcraft:broom_part:0, Wither Skull Cap
evilcraft:broom_part:0, Iron Metal Cap
evilcraft:broom_part:0, Gold Metal Cap
evilcraft:broom_part:0, Copper Metal Cap
evilcraft:broom_part:0, Silver Metal Cap
evilcraft:broom_part:0, Slime Cap
evilcraft:vengeance_essence:0, Vengeance Essence
evilcraft:vengeance_essence:1, Materialized Vengeance Essence
evilcraft:piercing_vengeance_focus:0, Piercing Vengeance Focus
evilcraft:spikey_claws, Spikey Claws
evilcraft:spectral_glasses, Spectral Glasses
evilcraft:box_of_eternal_closure:0, Box of Eternal Closure
evilcraft:box_of_eternal_closure:0, Box of Eternal Closure
extrarails:locking_rail, Locking Rail
extrarails:direction_rail, Direction Rail
extrarails:teleporting_rail, Teleporting Rail
extrarails:comparator_rail, Comparator Rail
extrarails:wooden_rail, Wooden Rail
funkylocomotion:booster, Frame Booster
funkylocomotion:frame_projector, Frame Projector
funkylocomotion:pusher:0, Frame Pusher
funkylocomotion:pusher:1, Frame Puller
funkylocomotion:slider, Frame Slider
funkylocomotion:teleporter, Frame Teleporter
funkylocomotion:frame_0:0, Frame Block
funkylocomotion:wrench:0, Wrench
funkylocomotion:wrench:1, iWrench
funkylocomotion:wrench:2, Wrench Hammer
gardenstuff:material:0, Iron Nugget
gardenstuff:material:1, Iron Link
gardenstuff:material:2, Gold Link
gardenstuff:material:3, Wrought Iron Nugget
gardenstuff:material:4, Wrought Iron Ingot
gardenstuff:material:5, Wrought Iron Link
gardenstuff:material:6, Candelilla
gardenstuff:material:7, Wax
gardenstuff:candelilla_seeds, Candelilla Seeds
gardenstuff:stone_block:0, Block of Charcoal
gardenstuff:metal_block:0, tile.gardenstuff.metal_block.wroughtIron.name
gardenstuff:bloomery_furnace, Bloomery Furnace
gardenstuff:metal_fence:0, Wrought Iron Fence
gardenstuff:metal_fence:1, Wrought Iron Fence
gardenstuff:metal_fence:2, Wrought Iron Fence
gardenstuff:metal_fence:3, Wrought Iron Fence
gardenstuff:metal_lattice:0, Iron Lattice
gardenstuff:metal_lattice:1, Wrought Iron Lattice
gardenstuff:metal_lattice:2, Rusty Lattice
gardenstuff:metal_lattice:3, Aged Lattice
gardenstuff:metal_lattice:4, Mossy Lattice
gardenstuff:candelabra:0, Candle
gardenstuff:candelabra:1, Candelabra
gardenstuff:candelabra:2, Candelabra
gardenstuff:candelabra:3, Candelabra
glasshearts:lifeforce_bottle, Bottle of Lifeforce
glasshearts:gem:0, Amethyst
glasshearts:gem:1, Ruby
glasshearts:gem:2, Topaz
glasshearts:gem:3, Sapphire
glasshearts:gem:4, Opal
glasshearts:gem:5, Onyx
glasshearts:gem:6, Amber
glasshearts:gem:7, Agate
glasshearts:staff, Opal Staff
glasshearts:glass_heart:0, Glass Heart
glasshearts:glass_heart:1, White Stained Glass Heart
glasshearts:glass_heart:2, Orange Stained Glass Heart
glasshearts:glass_heart:3, Magenta Stained Glass Heart
glasshearts:glass_heart:4, Light Blue Stained Glass Heart
glasshearts:glass_heart:5, Yellow Stained Glass Heart
glasshearts:glass_heart:6, Lime Stained Glass Heart
glasshearts:glass_heart:7, Pink Stained Glass Heart
glasshearts:glass_heart:8, Gray Stained Glass Heart
glasshearts:glass_heart:9, Light Gray Stained Glass Heart
glasshearts:glass_heart:10, Cyan Stained Glass Heart
glasshearts:glass_heart:11, Purple Stained Glass Heart
glasshearts:glass_heart:12, Blue Stained Glass Heart
glasshearts:glass_heart:13, Brown Stained Glass Heart
glasshearts:glass_heart:14, Green Stained Glass Heart
glasshearts:glass_heart:15, Red Stained Glass Heart
glasshearts:glass_heart:16, Black Stained Glass Heart
glasshearts:ore:0, Amethyst Ore
glasshearts:ore:1, Ruby Ore
glasshearts:ore:2, Topaz Ore
glasshearts:ore:3, Sapphire Ore
glasshearts:ore:4, Opal Ore
glasshearts:ore:5, Onyx Ore
glasshearts:ore:6, Agate Ore
glasshearts:petrified_log, Petrified Log
gravestone:gravestone, Gravestone
gravestone:death_info, Death Info
tconstruct:book, Materials and You
tconstruct:soil:0, Grout
tconstruct:soil:1, Green Slimy Mud
tconstruct:soil:2, Blue Slimy Mud
tconstruct:soil:3, Graveyard Soil
tconstruct:soil:4, Consecrated Soil
tconstruct:soil:5, Slimy Magma Mud
tconstruct:slime:0, Green Slime Block
tconstruct:slime:1, Blue Slime Block
tconstruct:slime:2, Purple Slime Block
tconstruct:slime:3, Blood Slime Block
tconstruct:slime:4, Magma Slime Block
tconstruct:slime_congealed:0, Congealed Green Slime Block
tconstruct:slime_congealed:1, Congealed Blue Slime Block
tconstruct:slime_congealed:2, Congealed Purple Slime Block
tconstruct:slime_congealed:3, Congealed Blood Slime Block
tconstruct:slime_congealed:4, Congealed Magma Slime Block
tconstruct:ore:0, Cobalt Ore
tconstruct:ore:1, Ardite Ore
tconstruct:firewood:0, Lavawood
tconstruct:firewood:1, Firewood
tconstruct:deco_ground:0, Mud Bricks
tconstruct:clear_glass:0, Clear Glass
tconstruct:clear_stained_glass:0, Clear White Stained Glass
tconstruct:clear_stained_glass:1, Clear Orange Stained Glass
tconstruct:clear_stained_glass:2, Clear Magenta Stained Glass
tconstruct:clear_stained_glass:3, Clear Light Blue Stained Glass
tconstruct:clear_stained_glass:4, Clear Yellow Stained Glass
tconstruct:clear_stained_glass:5, Clear Light Green Stained Glass
tconstruct:clear_stained_glass:6, Clear Pink Stained Glass
tconstruct:clear_stained_glass:7, Clear Gray Stained Glass
tconstruct:clear_stained_glass:8, Clear Light Gray Stained Glass
tconstruct:clear_stained_glass:9, Clear Cyan Stained Glass
tconstruct:clear_stained_glass:10, Clear Purple Stained Glass
tconstruct:clear_stained_glass:11, Clear Blue Stained Glass
tconstruct:clear_stained_glass:12, Clear Brown Stained Glass
tconstruct:clear_stained_glass:13, Clear Green Stained Glass
tconstruct:clear_stained_glass:14, Clear Red Stained Glass
tconstruct:clear_stained_glass:15, Clear Black Stained Glass
tconstruct:deco_ground_slab:0, Mud Bricks Slab
tconstruct:firewood_slab:0, Lavawood Slab
tconstruct:firewood_slab:1, Firewood Slab
tconstruct:mudbrick_stairs:0, Mud Bricks Stairs
tconstruct:firewood_stairs:0, Firewood Stairs
tconstruct:lavawood_stairs:0, Lavawood Stairs
tconstruct:nuggets:0, Cobalt Nugget
tconstruct:nuggets:1, Ardite Nugget
tconstruct:nuggets:2, Manyullyn Nugget
tconstruct:nuggets:3, Knightslime Nugget
tconstruct:nuggets:4, Pigiron Nugget
tconstruct:ingots:0, Cobalt Ingot
tconstruct:ingots:1, Ardite Ingot
tconstruct:ingots:2, Manyullyn Ingot
tconstruct:ingots:3, Knightslime Ingot
tconstruct:ingots:4, Pigiron Ingot
tconstruct:materials:0, Seared Brick
tconstruct:materials:1, Mud Brick
tconstruct:materials:2, Dried Brick
tconstruct:materials:9, Green Slime Crystal
tconstruct:materials:10, Blue Slime Crystal
tconstruct:materials:11, Magma Slime Crystal
tconstruct:materials:12, Expander (Horizontal)
tconstruct:materials:13, Expander (Vertical)
tconstruct:materials:14, Reinforcement
tconstruct:materials:15, Silky Cloth
tconstruct:materials:16, Silky Jewel
tconstruct:materials:17, Necrotic Bone
tconstruct:materials:18, Ball of Moss
tconstruct:materials:19, Mending Moss
tconstruct:materials:50, Creative Modifier
tconstruct:edible:0, Bacon
tconstruct:edible:1, Slime Ball
tconstruct:edible:2, Slime Ball
tconstruct:edible:3, Coagulated Blood
tconstruct:edible:4, Slime Ball
tconstruct:edible:10, Monster Jerky
tconstruct:edible:11, Beef Jerky
tconstruct:edible:12, Chicken Jerky
tconstruct:edible:13, Bacon Jerky
tconstruct:edible:14, Mutton Jerky
tconstruct:edible:15, Rabbit Jerky
tconstruct:edible:20, Fish Jerky
tconstruct:edible:21, Salmon Jerky
tconstruct:edible:22, Clownfish Jerky
tconstruct:edible:23, Fugu Jerky
tconstruct:edible:30, Gelatinous Slime Drop
tconstruct:edible:31, Gelatinous Slime Drop
tconstruct:edible:32, Gelatinous Slime Drop
tconstruct:edible:33, Coagulated Blood Drop
tconstruct:edible:34, Gelatinous Slime Drop
tconstruct:metal:0, Block of Cobalt
tconstruct:metal:1, Block of Ardite
tconstruct:metal:2, Block of Manyullyn
tconstruct:metal:3, Block of Knightslime
tconstruct:metal:4, Block of Pigiron
tconstruct:metal:6, Silky Block of Jewel
tconstruct:slime_dirt:0, Green Slimy Dirt
tconstruct:slime_dirt:1, Blue Slimy Dirt
tconstruct:slime_dirt:2, Purple Slimy Dirt
tconstruct:slime_dirt:3, Magma Slimy Dirt
tconstruct:slime_grass:0, Slimy Grass
tconstruct:slime_grass:1, Green Slimy Grass
tconstruct:slime_grass:2, Blue Slimy Grass
tconstruct:slime_grass:3, Purple Slimy Grass
tconstruct:slime_grass:4, Magma Slimy Grass
tconstruct:slime_grass:5, Slimy Grass
tconstruct:slime_grass:6, Green Slimy Grass
tconstruct:slime_grass:7, Blue Slimy Grass
tconstruct:slime_grass:8, Purple Slimy Grass
tconstruct:slime_grass:9, Magma Slimy Grass
tconstruct:slime_grass:10, Slimy Grass
tconstruct:slime_grass:11, Green Slimy Grass
tconstruct:slime_grass:12, Blue Slimy Grass
tconstruct:slime_grass:13, Purple Slimy Grass
tconstruct:slime_grass:14, Magma Slimy Grass
tconstruct:slime_leaves:0, Slimy Leaves
tconstruct:slime_leaves:1, Slimy Leaves
tconstruct:slime_leaves:2, Slimy Leaves
tconstruct:slime_grass_tall:0, Tall Slimy Grass
tconstruct:slime_grass_tall:4, Tall Slimy Grass
tconstruct:slime_grass_tall:8, Tall Slimy Grass
tconstruct:slime_grass_tall:1, Slimy Fern
tconstruct:slime_grass_tall:5, Slimy Fern
tconstruct:slime_grass_tall:9, Slimy Fern
tconstruct:slime_sapling:0, Blue Slime Sapling
tconstruct:slime_sapling:1, Purple Slime Sapling
tconstruct:slime_sapling:2, Magma Slime Sapling
tconstruct:slime_vine_blue_end:0, Blue Slimy Vine
tconstruct:slime_vine_blue_mid:0, Blue Slimy Vine
tconstruct:slime_vine_blue:0, Blue Slimy Vine
tconstruct:slime_vine_purple_end:0, Purple Slimy Vine
tconstruct:slime_vine_purple_mid:0, Purple Slimy Vine
tconstruct:slime_vine_purple:0, Purple Slimy Vine
tconstruct:pattern:0, Blank Pattern
tconstruct:pattern:0, Hammer Head Pattern
tconstruct:pattern:0, Sign Plate Pattern
tconstruct:pattern:0, Bowstring Pattern
tconstruct:pattern:0, Arrow Head Pattern
tconstruct:pattern:0, Shard Pattern
tconstruct:pattern:0, Binding Pattern
tconstruct:pattern:0, Hand Guard Pattern
tconstruct:pattern:0, Wide Guard Pattern
tconstruct:pattern:0, Knife Blade Pattern
tconstruct:pattern:0, Sword Blade Pattern
tconstruct:pattern:0, Cross Guard Pattern
tconstruct:pattern:0, Arrow Shaft Pattern
tconstruct:pattern:0, Bowlimb Pattern
tconstruct:pattern:0, Axe Head Pattern
tconstruct:pattern:0, Tool Rod Pattern
tconstruct:pattern:0, Broad Axe Head Pattern
tconstruct:pattern:0, Large Sword Blade Pattern
tconstruct:pattern:0, Tough Tool Rod Pattern
tconstruct:pattern:0, Scythe Head Pattern
tconstruct:pattern:0, Shovel Head Pattern
tconstruct:pattern:0, Sharpening Kit Pattern
tconstruct:pattern:0, Pickaxe Head Pattern
tconstruct:pattern:0, Fletching Pattern
tconstruct:pattern:0, Large Plate Pattern
tconstruct:pattern:0, Tough Binding Pattern
tconstruct:pattern:0, Excavator Head Pattern
tconstruct:pattern:0, Pan Pattern
tconstruct:shard:0, Wooden Shard
tconstruct:shard:0, Stone Shard
tconstruct:shard:0, Flint Shard
tconstruct:shard:0, Cactus Shard
tconstruct:shard:0, Bone Shard
tconstruct:shard:0, Obsidian Shard
tconstruct:shard:0, Prismarine Shard
tconstruct:shard:0, End Shard
tconstruct:shard:0, Paper Shard
tconstruct:shard:0, Sponge Shard
tconstruct:shard:0, Firewood Shard
tconstruct:shard:0, Iron Shard
tconstruct:shard:0, Pig Iron Shard
tconstruct:shard:0, Knightslime Shard
tconstruct:shard:0, Slime Shard
tconstruct:shard:0, Slime Shard
tconstruct:shard:0, Magma Slime Shard
tconstruct:shard:0, Netherrack Shard
tconstruct:shard:0, Cobalt Shard
tconstruct:shard:0, Ardite Shard
tconstruct:shard:0, Manyullyn Shard
tconstruct:shard:0, Copper Shard
tconstruct:shard:0, Bronze Shard
tconstruct:shard:0, Lead Shard
tconstruct:shard:0, Silver Shard
tconstruct:shard:0, Electrum Shard
tconstruct:shard:0, Steel Shard
tconstruct:shard:0, Treated Wood Shard
tconstruct:shard:0, Constantan Shard
tconstruct:sharpening_kit:0, Wooden Sharpening Kit
tconstruct:sharpening_kit:0, Stone Sharpening Kit
tconstruct:sharpening_kit:0, Flint Sharpening Kit
tconstruct:sharpening_kit:0, Cactus Sharpening Kit
tconstruct:sharpening_kit:0, Bone Sharpening Kit
tconstruct:sharpening_kit:0, Obsidian Sharpening Kit
tconstruct:sharpening_kit:0, Prismarine Sharpening Kit
tconstruct:sharpening_kit:0, End Sharpening Kit
tconstruct:sharpening_kit:0, Paper Sharpening Kit
tconstruct:sharpening_kit:0, Sponge Sharpening Kit
tconstruct:sharpening_kit:0, Firewood Sharpening Kit
tconstruct:sharpening_kit:0, Iron Sharpening Kit
tconstruct:sharpening_kit:0, Pig Iron Sharpening Kit
tconstruct:sharpening_kit:0, Knightslime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Slime Sharpening Kit
tconstruct:sharpening_kit:0, Magma Slime Sharpening Kit
tconstruct:sharpening_kit:0, Netherrack Sharpening Kit
tconstruct:sharpening_kit:0, Cobalt Sharpening Kit
tconstruct:sharpening_kit:0, Ardite Sharpening Kit
tconstruct:sharpening_kit:0, Manyullyn Sharpening Kit
tconstruct:sharpening_kit:0, Copper Sharpening Kit
tconstruct:sharpening_kit:0, Bronze Sharpening Kit
tconstruct:sharpening_kit:0, Lead Sharpening Kit
tconstruct:sharpening_kit:0, Silver Sharpening Kit
tconstruct:sharpening_kit:0, Electrum Sharpening Kit
tconstruct:sharpening_kit:0, Steel Sharpening Kit
tconstruct:sharpening_kit:0, Treated Wood Sharpening Kit
tconstruct:sharpening_kit:0, Constantan Sharpening Kit
tconstruct:pick_head:0, Wooden Pickaxe Head
tconstruct:pick_head:0, Stone Pickaxe Head
tconstruct:pick_head:0, Flint Pickaxe Head
tconstruct:pick_head:0, Cactus Pickaxe Head
tconstruct:pick_head:0, Bone Pickaxe Head
tconstruct:pick_head:0, Obsidian Pickaxe Head
tconstruct:pick_head:0, Prismarine Pickaxe Head
tconstruct:pick_head:0, End Pickaxe Head
tconstruct:pick_head:0, Paper Pickaxe Head
tconstruct:pick_head:0, Sponge Pickaxe Head
tconstruct:pick_head:0, Firewood Pickaxe Head
tconstruct:pick_head:0, Iron Pickaxe Head
tconstruct:pick_head:0, Pig Iron Pickaxe Head
tconstruct:pick_head:0, Knightslime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Slime Pickaxe Head
tconstruct:pick_head:0, Magma Slime Pickaxe Head
tconstruct:pick_head:0, Netherrack Pickaxe Head
tconstruct:pick_head:0, Cobalt Pickaxe Head
tconstruct:pick_head:0, Ardite Pickaxe Head
tconstruct:pick_head:0, Manyullyn Pickaxe Head
tconstruct:pick_head:0, Copper Pickaxe Head
tconstruct:pick_head:0, Bronze Pickaxe Head
tconstruct:pick_head:0, Lead Pickaxe Head
tconstruct:pick_head:0, Silver Pickaxe Head
tconstruct:pick_head:0, Electrum Pickaxe Head
tconstruct:pick_head:0, Steel Pickaxe Head
tconstruct:pick_head:0, Treated Wood Pickaxe Head
tconstruct:pick_head:0, Constantan Pickaxe Head
tconstruct:shovel_head:0, Wooden Shovel Head
tconstruct:shovel_head:0, Stone Shovel Head
tconstruct:shovel_head:0, Flint Shovel Head
tconstruct:shovel_head:0, Cactus Shovel Head
tconstruct:shovel_head:0, Bone Shovel Head
tconstruct:shovel_head:0, Obsidian Shovel Head
tconstruct:shovel_head:0, Prismarine Shovel Head
tconstruct:shovel_head:0, End Shovel Head
tconstruct:shovel_head:0, Paper Shovel Head
tconstruct:shovel_head:0, Sponge Shovel Head
tconstruct:shovel_head:0, Firewood Shovel Head
tconstruct:shovel_head:0, Iron Shovel Head
tconstruct:shovel_head:0, Pig Iron Shovel Head
tconstruct:shovel_head:0, Knightslime Shovel Head
tconstruct:shovel_head:0, Slime Shovel Head
tconstruct:shovel_head:0, Slime Shovel Head
tconstruct:shovel_head:0, Magma Slime Shovel Head
tconstruct:shovel_head:0, Netherrack Shovel Head
tconstruct:shovel_head:0, Cobalt Shovel Head
tconstruct:shovel_head:0, Ardite Shovel Head
tconstruct:shovel_head:0, Manyullyn Shovel Head
tconstruct:shovel_head:0, Copper Shovel Head
tconstruct:shovel_head:0, Bronze Shovel Head
tconstruct:shovel_head:0, Lead Shovel Head
tconstruct:shovel_head:0, Silver Shovel Head
tconstruct:shovel_head:0, Electrum Shovel Head
tconstruct:shovel_head:0, Steel Shovel Head
tconstruct:shovel_head:0, Treated Wood Shovel Head
tconstruct:shovel_head:0, Constantan Shovel Head
tconstruct:axe_head:0, Wooden Axe Head
tconstruct:axe_head:0, Stone Axe Head
tconstruct:axe_head:0, Flint Axe Head
tconstruct:axe_head:0, Cactus Axe Head
tconstruct:axe_head:0, Bone Axe Head
